label,url,brand,name,price,skin type,spf,concern,concern 2,concern 3,key ingredient,formulation,image_url
face-moisturisers,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,Biotique,Vitamin C Correcting and Brightening Treatment Face Moisturizer 50 g,₹ 147,Normal,,General Care,Irregular Textures,Pigmentation,Vitamin C,Cream,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3rWoYlNGWDz87OmxVYzJ_VQi6A7D3taxW3a0PTpNwXQ&s
face-moisturisers,https://www.myntra.com/face-moisturisers/skinkraft/skinkraft-women-oil-balance-moisturizer-for-slightly-oily-skin-45-ml/15345054/buy,SKINKRAFT,Women Oil Balance Moisturizer for Slightly Oily Skin 45 ml,₹ 499,Oily,,Excess Oil,,,,Gel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoCU1Z_rJyek8FSQDaqYDitT6CkG_JOjwPmgFUQyy4bA&s
face-moisturisers,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-oil-free-combination-skin-moisturizer-118ml/6967599/buy,Neutrogena,Oil-Free Combination Skin Moisturizer 118ml,₹ 405,Combination,,Excess Oil,Pigmentation,,Retinol,Cream,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxAQEhAPDxAOEBUQDxAPEBIQDxAQEA8QFREYFhYVFhYZHSggGBolHRYWIjEhJSsrLy4wGB8zODMtOCgtLisBCgoKDg0OFRAOFS0dIB8rNzcvLSsrNy8tKzE3LTgrKzgtKzYtMDctKysrKzcrKy0rNystKysxKy0tLS0tNy0tN//AABEIAPYAzQMBIgACEQEDEQH/xAAcAAEAAgMBAQEAAAAAAAAAAAAAAwQBBQYCBwj/xABJEAACAQMCAgUGCggDBwUAAAABAgADBBESIQUxEyJBUXEGYYGRkrEHFBUjMjNCcqHRUlNUk8HS0/AkRGJFgpSks8PxNENVY3T/xAAZAQEBAQEBAQAAAAAAAAAAAAAAAQMCBQT/xAAjEQEBAAICAAUFAAAAAAAAAAAAAQIRAxJRYZGh0QQTFEFC/9oADAMBAAIRAxEAPwD7jERAREQEREBERAREQEREBERARI61ZUGXZVGcZYgDMiHEKP62n7QgWYlU8SoDY1aY82sR8o0P1tP2hAtRK3yhR/W0/aEfH6P6xPaECzErDiFHkKqZ7tQzM/HqX6xPaECxE8UqyuMoysM4ypB3nuAiIgIiICIiAiJXu6hAAG2c7wJycc9pGbhP0gfDJ90oVhtnme87n8ZQrue8wNyOIUs6dW5ONww/hLU0XB6QdiTyXB8SeXum9gIiICIiBruJ2a1XpioCUVahIDMvXyun6JBO2qRrwq1HJG/eVf5peuez0yESopvwKxYlmoIxPMsGYns3Jj5Csf2aj6aYMuTEi7aqvwW3+xbW/wC5pfxEr/ItP9mt/wBzR/KbyJTdauhwWgCG6CmpG4KqFI8CJYqcOpn7LfvH/OXYhFThFmadVioYK1M5y5YFgwxsT3Zm5la25nwlmRSIiAiIgIiICVL8/R9P8Jbmsv16QhcldJIyuMn1iB5rsMCa24cby1cWIx9Or61/KUavD1/Tq+0v5So2Xk6frP8Ac/jNzOZ4PU6BiuS4cqDqIyME9w886aRSIiAiIgQXPZ6ZDJrns9MhlQmDMzBgYiIgZiIgS23M+Esytbcz4SzIpERAREQEREBNafpN94++bKatTufE++BmvKVSXa8pVJUUwcMPGdZORc7zrUOQD3gSKzERAREQILns9Mhk1z2emQyoTyzgcyBnlkgZ3A95Hrni6VyjimQrlGFNjuFcqdJPmBxNMbGsxGFqKgem2itWFVwVq0WY6tTbYRsDPYeWqBuy4yFyMkEgZGSBjJA9I9czNRd8Oqu4cu2StKmzUnqUPmxcanAXWcHTtkHPdiU/iV51ss564LgO3zo1P9X88NI3U4zT2GMHlA6SJBYo606YqHLhFDknJLY3ye2TwJbbmfCWZWtuZ8JZkUiIgIiICImCcbnaBmaag+TLlxxBRkIC583L1zmjwe4JyL28TuCpaAD10syje1zKVUzXNwKufpcRvf8AlB7qUjfydrf/ACN7/wAp/ShEtVt51tscoh70U/hODfyerj/PXh8VtG/7U6yw4kqqtNwV0qF1HcHAxk90DaxMIwIyCCO8HImZFIiIEFz2ema3i1y1KkzoFLBqarrzpy1RU3xv9qbK57PTK1SmrDDAMMg4IyMg5H4gGVGlW/uVdw7W7LSvLe1Omk6tUWstI6s6yEKmsNt86TyztSueMVjarcOKZW6s69anTValOpRxbNWUM4fJ2GkkaSGIxjM6U2yHVlF6zrUbqjrVF06WPnGhcH/SO6QDhduNZFGl84rq/UXrK5y4PmY7kdp3MDWV+I1+lenmkiu9elRJpO6sUpMwIqI+C4KNmmwQ7Ng9XrV6XGK1K1rO5pu1vwuhd6yrKHqNTrE6+sdvml7e0+jeiwohzVFKnrJJL6RqyV0k+JG2eeNpC3BrYqqG3olVTo1U010innIXHLSCcgdkDXXfFbhTgCmRUvXs6QSk9R1CJUqNUcaxnIplQoxuQcn6I2fCbl6lPVUUKyvUptgaQdLkBtOTpyMdUk4ORJq1nSdSj00ZWbWQVGC+rVq+9nfPPM90KCU1CIqoozhVAAGTk+skn0wLNtzPhLMrW3M+EsyKREQEREBNfcnUxB3A2A7JsJrW+kfvH3wJVGJFUMkzInlRE0jae2ngwIzIqklaRPAzw+sUdcEgFgGHYQdp0k5RTgg+edXIpERAguez0yGTXPZ6ZDKjW8UvKiMqpp3TUdQ/1Y/KUvlC5OcCntz25bHz+b3TPlE2HTBx1DyOPtGaVqh/SPYOZ5d0wyyu3rcHBjlx43U9GxrX93vgptjkB2jMr/KV3n6abHB2G25HvBkFxXpZzip2H6R33787bZ9fZ265qnWOgsBnq5OCB2dsna+LXHgxv8T0dXwq8rtUVapGGUsMY35fnN3OT8nG+dXf7JE6ya4Xced9XhMOTUn6S23M+Esytbcz4SzOnzEREBERATWLzmzM1lOBIZG8kM1nEK9ZXApg40qVxTZxUfVhlZhtTAXG57+3GDUWmkZmve5ueirEUuuEc0geWoW6soI5tmoWG3dPFe5uaanNJahUJuhZslnbOAFGQoC8hnrebJC+0ieV7W6qu7q9E0wqghiSQSQNgcYPM8uWnfnLDwIDznVUjlVPmHunLHnOmtT1E+4vuhUsREgguez0yGTXPZ6ZDKhPDU1PMA+ie5gwIWtaZ5oh8VE8fEqX6qn7CyxEKjS3RTlUQHvCgSWIhEttzPhLMrW3M+EsyKREQEREDy/I+BmvpzYVeR8D7pr6cDXcbo1i1CpR1k0WeqVV9Iq4THRsMgHUCwGdgSD2TWUqV2mtmNcdLdCrUNM06r0qbWy9SkHyoVagCbDfBONyZ05mn49xGpQ0dGiuXLZDNpwFAP8AGUxlyuo11Zr3SGwysadtr0CmSGxV6QfaCnPR5IVue224jU3gJqEVstQsGNP5lkVhV/xKrgDr6Se3fO3IYDj1zvm3p7f/AGjvxPJ47cfs6c8D54bmTca/Yz8PefKYNeOdQ1UwFu2VHWlh2FQC3VyMkKVyTjB7yOU9cHa4Kt8Y1c106xTDZ09b6AAxnlt37kYk/Cb96wcugQqQMBg2QR3y28rLKWXVQNOksj82n3R7pzbTo7D6tPuwixERIqC57PTIZNc9npkMqExMzBgYiIgZiIgS23M+Esytbcz4SzIpERAREQPNXk3gfdNek2FXkfA+6UElHozQeVPC6lytMU9HUZidbEbEDlse6b8yJoXHK42WOIt/JiuhJZbZ8jGGZiBv5hPNx5L12II+Lr90tv47TtWkZk6xv+Xy73tpfJ/hj26OrlTqYMNJJ2xjumyaSNI2lYZZXK21A06Ph/1aeH8ZzjTo7D6tPCHKxERIqC57PTIZNc9npkMqKFa9rDVi3JwWCkMTqxjBxp2znPPsO+cZ8LxCqf8ALuO3m2ANOT9nc52xLF7b1XK9HWNIDOrCBi3r5Sq6OMr8aUMMs2QMhcLvgnYfgMwPVK/qnObd16rHmSMgcvo9v9jsmEv6ugs1u2oIrFFYknUxGBkZzsT4Y79oTScgkXvZoJIXAfABPPY5IOB3gbjEaWYJi9TbXkgp1yT1eR7Mr5uzG8CX5RrdtrU542bI9en+8jz42cpWdrVRsvXaougLpKKOvkZbPPv288uwJbbmfCWZWtuZ8JZkUiIgIiIHl+R8DKCzYma1YHsyJ5KZE0qI2kZkhkZgRtImkrSJ4EJnSWQ+bT7onOds6a2GEQf6V90KkiIkEFz2emQya57PTIZUJA9qhLMV3bGTkg7ctxyI7xKt2WRgWuhTDayAyJjHIYY92Rz5yKpXJwFuhkhE2pK3XLAasDkDkDu6w7511TawOFUMMvRjDBQQCQMKSRy+8Z5+SLfOeiAOdWxYb5znnKr1iCf8aAADkGnTxupxv3dvnxPNR3XC/HUGAUYsi6g2nSDvnJ1A9vYeeDL08zs3cTV2rM5XRdippGWxTTrDK55cuz2vPNpObNLKltuZ8JZla25nwlmcqREQEREBNeRgnxM2Eo1h1j4wPkflzxS5Xib0Evbm2p9HTOab1NFP5jUW0Aju3xvOfrV+N5VUu7sscgg3IVSdeldDFsOCCrA9zgzofhA8n7+rf1bi2tqtRTTpqHVUZT81pYYPiRynG3VLilBaaPSrAUSpo9JQp1DRKsWHRsykruTyO4wOQAFRInEuNslN1va+KoZlBvEU9GqU3LnUwAGKqeeYW/46cYubs5LKMXSdZ01a0HW3ZejfK89vOM0WfibrpFKppCNTUJa0l0IyqpClVyuyJy/RHdLttc8RVXDWtdmaoaoYUqaKHOTqKinnVqZmypU7+YYDJveNYBN3cYO4/wAYgyAaYJ+lyHSpk9mfMZuvIfiF8eI0qN1c16gNKqxRq7VF3pFlJGdjgg794nN0BxRWBSiyHU7KEtLdFDOULYUJjc00PL7PnOek8huD31O/pV7m3qUx0TpqZKaDAo6EGFx2ADl2QPqijedSowAO6c1arl1Hew986aRSIiBR4ne0aWjpatKlq1aekqImrGM4yd+Y9cojjVp+1Wv/ABFL85wXw8/7P8br3UpwdjwcVbZq9JialN6muicZeiioz1Kf3ekXK92/YRA+7VeJ2TfSuLNtiOtWpEYOM8z5h6p5HErEcq9kO3arQG+Qe/vAPoE+GXHCm3NJSUFFKxLvTDaTSSo7AbZVdYyQMAbnEhpcAuKjmnoVCKlekxepTULVoUy9RDv9IAf2Jdo+51r3hrAq1awwefz1EZ3zzBmRxTh2SfjFhkksSa1AnJOSc5n524hwC5CCo1IKhVXDtWoKmhjhWLF8BSdgx2J257TWJ5NXYZgbZwU1llbQrhUcIzBSclQxAyARnaN00/UFHidgpylxZKSMdWtRG3oMl+WrT9qtf+IpfnPzzw/yfutOoUeqASW6SjoGKgpnLasAhiAQTkZGcZk9bgdz1h0DZUsrLlNY01RSY6c5IDkLqAxntjY/RXDOI0KrMtKtRqkLkinVRyBnmQDymynxH4CVxe3fZ/hVB/eifbpFIiICIiAlK6HW8QJdlW8HI+IgQgyld2NB/rKVJvvop98uKZUubJWLMxbrac74A0hsef7R/vMqKw4ZbLyo0R4Iog2FH9VT9gSk9W3coel1HCN9XqDgKCN8fRwQcZxt4yNxbg69bghskimwyyhhucbnqN/ZEC41jRBz0VLI5HQuRM1AOeBty25SOlaBSGVmI2ODg9jAY7R9IySoYFjha5qL5sn1CdDNNwROsT3L7zNzIpERA+T/AA8/7P8AG691KfO7HiJpLRNIulWjXqVlcY09dKa48/1e4OxDEeP3Ly28kqPEmthXqV6a0RWINE0wSX0bHUp/RPKaBfgnsB/mb710P6UDhOLeUNOvTKilVoMqPTpLQrlLfQ6AFXTGSFOogA7g4PKYuPKWh0jVBRr/ADl5d3dQGrT2+NWzUnVer2ayQT3b89u+PwVWH7Tfeuh/TkNT4JrHsuL/ANq3/pwPlXE+NUXpNQNOqKdSxt7RyChqI9CsaqVF5BgclSpxzznbE27eUVN1o3bVFSolFgmm5tKhSmlUMlvUosRWOTSp6tI31sQQCROuuvgftW5V772rb+nKa/Ava5z0197dt/JA5NuNUKiXNNFvdNwmAK9wK/Qk16dVlQYHVHRADtOd+Qmx4t5S0KnxkpRrI1ylYMRUp41vcrXRidOTjTpxnG2RuxnWWvwS2q86977Vv/JJ6nwU2h/9+99q3/kgaL4CP/WXf/5F/wCqJ9unEeQ3kTS4dXq1aVSu/SUejPStSIGHBGNKidvAREQERMQMyG7HV8DmSlpHVqLggkDIxAoqZh5X6cd8y9wO+VBgOeB6pEyjuHqE8tXHfInrjvge3MruYauJCKmTA6HgtPCFu8/gP/JmxlWyKqirkbDfxO5lgNIr1PJMzmeGlRBXfP4zTChe4+vpA426gbfz9Uefx7hNtVO88Zga8ULvfNannGwVQBnI5kqdsA+vHnmXp3e2KlIY052yGwBk/R2zucecDbGTZubgpowrNqqImwJ0hjgscA4A/vErUOIEozMmllTWEz1mGjUPy9HLsgOgutL/ADyBzp0HQpVcPk5GkZyu089Dd4+tp578DHq0fx35bYyc2/ESwY4XZ0QYY7lmClvu9YEHt3kB4w4IBoNuqt1Wyd6at2gcskegcsgEPa0L3bNah25ATHMjG+DyGfHMz0N5v89SO7clAyNJC/YODnBPP8N7FhfCrnbTgAkE7jLuMHuOEB9MtZgSWZYBdRBbSAxHItjcj0y4GlGmd5bSBJmZnkTMgzMYmYhXkrPD0lxuBJZhhA0FXhSElsYJOSVJXPqng8HHe/tt+c3/AEcdHKjn/kYd7+0Zj5FHe/tGdF0cdHA575FX/X7bfnPScHpjBK5xv1iW9833Rx0cDxRpLgbDlJQsyoxMyKxiYInqIFO6pcsEjnK/RnvP4TY1FzITSlRT6M95/CZ6M95/CWDSmOigVzTPf7o6M95/CTilApQIOiPf7o6I95/CWVpT2KcCK1o77knbzS4FnmkmJJAxiZiJFIiICIiAiIgIiICIiAiIgIiICMREDGmY0T1EDzojRPUQPOmZxMxAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERA//2Q=="
cleanser,https://www.myntra.com/face-wash-and-cleanser/paulas-choice/paulas-choice-white-perfectly-balanced-foaming-cleanser-190-ml/13205366/buy,Paulas Choice,white Perfectly Balanced Foaming Cleanser 190 ml,₹ 1512,Combination,,Dull Skin,Redness,Excess Oil,Hyaluronic Acid,Gel,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxIPEQ8OEhAQEBAOEA4PDhAOERAQDRAPFhUWFhURFh8kHSosGBolHhMVITIhJSkuLjouFx8zODMsNygtLisBCgoKDg0OFRAPGy8mHSUtLS8tLS0tLS0tLS0rNS0tLS0tLS03LS0tLS0tLS0tLS0tLTUtLS0rLS0tLTYtKy0tLf/AABEIAOEA4QMBIgACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAAAwQCBgcFAf/EAEEQAAIBAgMDCAcFBgYDAAAAAAABAgMRBCExBRJBBlFxcnORsbITIjI0YYGhBzNCwdEjUlNikuEUFURjo9Ikg6L/xAAYAQEAAwEAAAAAAAAAAAAAAAAAAQMEAv/EAB8RAQACAgIDAQEAAAAAAAAAAAABAwIRMkESEzFhIf/aAAwDAQACEQMRAD8A7iAAAAAAAAAAAAAFXFzd4pNpWbdsi0Udp4WpUS9HNQdmrtXfyAqYusoZykornlKyKUdr0f3nLqwk14EEtjaucnOaycpNttrjmSUcElwAn/zqiuM1/wCub8EZx23R/iNdMKi/I+4TZVOq2pxulms3HwLa2Bhv4X/1U/UCCntek9K8OiU0n9S5TxbeaakudWa+hE9gYb+F3TqL8yJ8nKCd4ekpPnp1JX+twPTo1t6+VrEpWwWF9EnHfnUu73nbeS5slmWQAAAAAAAAAAAAAAAAAAAAAAAAAAAA+Sdk3zFenXco72mYFaUb7/Xl4swjSMJVHdq+rfiS0wJ8FGzfQXCnTds0TRrZxVtW19L/AJATAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAxqaPoZTwvsLpZcqaPoZSwj9RdLAqNZvpZYpog4vpZZpkoSJGUfah0vysIRfrQ6X5WBaABCQAAAAAAAAAAAAAAAAAAAAAAAAAACLEYiFKO/UnGEdN6clGN+bMlNP+0J5YVfzVX9I/qdYxudOcsvGJl7NblFhkmvS3yfswqSXekePHlRThFR9HVk1xSgo/WV/oa9S0Ia5fFUM83ZPbfKZX+6f9S/Qmp8qP9p/1r9DViWJ168XHtybXDlTHjSn8pRf6FnDcoqMpQclUppN33op8GvwtmoRJIkerFPuydApbaw8tK0F17w8bHoHMToOxfdsN2FHyIpswjH4vrsnL6ugArWgAAAAAAAAAAAAAAAAAAAAAAABq/LbA1a/+GVOnKe66rlu6LKNrvgbQfGTjOp2jKPKNNFo8ncTbOml0zh+pjV5M4h8Ka6Z/2N0xFGcn6s7LdStms95Nu/DJNfMq1cNNup+0a3nUta90pJW7rPvLPbKr04tSjyTxHPS/rl/1JY8ksRz0f65f9TbMNh3F3cpS9SnFpuW7vRveSTbte67i7Ee3I9OLnFXBbkpQlVpqUG4yX7V2a1/AFh1wqUn85LxSPQxdKosRiGlUipVJWkqcpRebz0d9f7kc4SacXN5tX3qElle/Nzl0SonFTlh2k3eDS13akJPm0vfib5sT3bDdhR8iNKxMrp5xk9x5qLjK29DX6m67E92w3YUfIiu35C2mP7K6AChoAAAAAAAAAAAAAAAAAAAAAAAADVeXWLqU1h1CpOG9KpvbknG9lG17dJtRp/2g/wCl61Xwid18ocWcZeJDEzazqTfTOT/Mq4ibfF97PSwGGhKlOcpOLjvKPrRSuo3WWsruyy5z7jNk7rinvZ0a0msrqtCDk4L4afHU0biGXxmYeGSwRdls5bsmt9yjh6Fbd/mnNRatbSzuTbM2U6tOpL1lK7hRjkt6cU5STv8AKOXGXwJ8oc+M7UosmhVktJSXQ2XcJg6VVNx396T3YRlPdu1CLye41J7zeTccrc558SYnZMaTyxE2nFzm09U5Sce43zYnu2G7Cj5Ec+Og7F92w3YUfIim7pdR9ldABQ0gAAAAAAAAAAAAAAAAAAAAAAABqH2g/wCl61Xwibeah9oOmF61Xwid18ocWcZePhaa9G5SnKPrNU1FXTmo3u81bgr/AB+BliMHOMXUVTP/AMecbTW9v1I3u7SvFq+rWZDhsRKEZRjJpTVpJcdV4Nr5lfEVpNNNu0lBNc6irRXyRp1LJuNLOJpOHppwrVXUozjTruV4OTbaunvXavHR9JNPCKEqsqlWq40K/oouCvUc25S3836vst9J5tfGVKiUZzlJJ3s+e1rvnduLJqGOqxlKaqSUpu83+873u/mNSbhfw1JKlUqemqxi6k6e7BxjvpJO7Tmr+1orlBEtHHVIppTdpScpXs7yerd+JEiYRMwyR0HYvu2G7Cj5Ec+Og7F93w/YUfIiq7pdR2ugAztIAAAAAAAAAAAAAAAAAAAAAAAAaj9oGmG61Xwibcaj9oGmG61Xwid18ocWcZa9T0IK5PT0IK5qY1dEsCJEsCUJomaMImaCGR0LY3u+H7Cj5Ec9OhbG93w/Y0fIim7poo7XAAZ2kAAAAAAAAAAAAAAAAAAAAAAAANR5f6YbrVfCJtxqXL/TDdar4RO6+UOLOMtdp6EFcnp6EFc1MauiWBEiWBKE0TNGETNAZHQtje74fsaPlRz06Fsf3fD9jS8qKbul9Ha4ADO0gAAAAAAAAAAAAAAAAAAAAAAABqXL7TDdar4RNtNT5faYbrVfCJ3XyhxZxlrlPQr1y3SpNxckrpZPS/Dh813oq14u29wbaT+PN9UamNXRNAjhBvRN2veyvom39E38ifD0pTyjGUmldqKcnbS/1RKGUTNGMFk3wVk3wTengZRQGR0LY/u+H7Gl5Uc/lBpJtNXva/G2TOg7H93w/Y0vKii7pfR2tgAoaQAAAAAAAAAAAAAAAAAAAAAAAA1Pl7phutV8Im2Gp8vdMN1qvhE7r5Q4s4y8jZ86kYqUFdKT9X1nvNx4pa2RFPGVUn6ra3Ws4yaUXGCv3U13s+YWtOKTj+Ft6XV2rfkYVdozVs1lurTmlvL6mjTLv+Pk8fUu1utbzdrOTSbhOLtn/PkuG6i1h8TP0lStClllFRdo7u5KMslz+qm0tL8NSph9qyUk5JSSvlms7TV/+R9yMYYvVbsWt+c4b+9KUHK17Zq+UY6rhwGvw8v1fjj5x3V6NL0at+L8KcW+hNsyWMrfw3lJNLdqZOyslnpaN7fFsg/zSb4Q9mUdHpKyb11skj6to1ODV7ylkru8rt+ZjX4eX6wxVaUn6ys1ws08+f6G+7I93w/Y0vKjn1S925XvJtu6td8ToOyPuMP2NLyoru+Qto+ytgAoaAAAAAAAAAAAAAAAAAAAAAAAAA1Tl5ph+tV8Im1mqcvNMP1qnhE7r5Q4s4y1+jSbi5LhZcb3dkku/wCjIcRGos/Wt0u3P+TJ8Ona6zSabjd55r9UY15rjSnp+9Pmz/PvNLIpxVT/AHNbfi1zy+j7iaKqL+Itdd7hqPTq6yqqzbfrSy9XPjz37ySOIV271Pw7vrPJXvNfOydwPqjU5p8dd7hr4Mx32+L72TyxEdGqmadt6b+P5+BFUlF23Y7qXxbbJhEsUdE2T9xQ7Gl5Uc7OibJ+4odjS8qKrul1Ha2ADO0gAAAAAAAAAAAAAAAAAAAAAAABqnLvTD9ap4RNrNV5d6YfrVPCJ3hyhxZxlrtGo0uNrptJ208GfK2Jjp+0Xq21T4JWz4H2jSck7K9lnoVa0HzPPTJ/D9V3mn+Mm5TrFpvOdW2Wqg3rJPhzSfeTYfFpKN6lRON8oxhZLJK3yjHuPLUXzPn0+NiWA1CPKV6U6b1dR2SUfZ5n+f0IEYoyR1CJlkjomyfuKHY0vKjnaOi7K+4odjS8qKbul9Ha0ADO0gAAAAAAAAAAAAAAAAAAAAAAABqvLrTD9ap4RNqPK5RbKeJppRaU4S3oX9l5WcXzf2OsJ1MOc43jMNHpVHFZOxBWryunfS1vlb9EWsTga9K6nQqK3GMXKPero8ytWV+bpyNUalincJP8RJprKzVrJWyu34tks6zna6WXNcpRqLnJoVFzonSNrCMkQ+mjzrvMqdTedopzfNBOT+hImOi7K+4odlS8qNL2fsOvWavTlShxlVW60vgtWb3RpqEYwWkIqK6ErIz3ZROtNNOMxvbMAFK8AAAAAAAAAAAAAAAAAAAAAAAAAAA8zbXsgEx9RPxoe1NX8zzaeoBoj4y5fWy7F1Ru+G9lAFOf1fh8SgA4WAAAAAAAAAAAAAAAAP/Z"
